State,District,Confirmed_Cases,Recovery_Rate
AP,East Godavari,124372,99.42
AR,Papum Pare,6779,99.57
BR,Katihar,7231,99.77
CH,Chandigarh,21296,97.70
CT,Dakshin Bastar Dantewada,6092,99.67
DL,Delhi,637315,98.12
GJ,Mehsana,7010,99.14
HP,Solan,6762,98.56
HR,Mahendragarh,6614,99.68
JH,Bokaro,6712,98.82
JK,Kupwara,5672,98.21
KA,Yadgir,10678,99.34
KL,Malappuram,113536,97.10
LA,Leh,7662,98.39
MH,Gondia,14461,98.15
ML,East Khasi Hills,8663,97.95
MP,Gwalior,16488,98.44
NL,Dimapur,6477,97.76
OR,State Pool,8406,99.79
PB,Bathinda,9625,97.16
PY,Puducherry,31285,97.81
RJ,Alwar,21826,99.49
TN,Viluppuram,15240,99.07
TR,West Tripura,11643,98.22
UP,Gautam Buddha Nagar,25446,99.46
UT,Pauri Garhwal,5159,97.75
WB,Cooch Behar,11832,99.30
